2025-08-01 11:19:20 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: files/temp/20250801_111901_7cd81338-82bf-4582-b572-0ed46f015950.pdf
2025-08-01 11:24:31 | ERROR    | modules.leitor_documentos.impl.docling:extract_raw_data:54 | Erro na extração: Erro de conversão
2025-08-01 11:24:31 | ERROR    | modules.leitor_documentos.impl.pypdf:extract_raw_data:59 | Erro na extração: Erro do pypdf
2025-08-01 11:24:31 | ERROR    | modules.leitor_documentos.impl.docling:extract_raw_data:54 | Erro na extração: Erro inesperado
2025-08-01 11:24:31 | ERROR    | modules.leitor_documentos.impl.pypdf:extract_raw_data:63 | Erro na extração: Erro inesperado
2025-08-01 11:24:31 | ERROR    | modules.leitor_documentos.impl.docx2txt:extract_raw_data:50 | Erro na extração: Erro ao processar DOCX
2025-08-01 11:24:31 | ERROR    | modules.leitor_documentos.impl.llmwhisperer:extract_raw_data:58 | Erro na extração LLMWhisperer PDF: 'Erro do cliente'
2025-08-01 11:24:31 | ERROR    | modules.leitor_documentos.impl.llmwhisperer:extract_raw_data:144 | Erro na extração LLMWhisperer DOCX: 'Erro do cliente'
2025-08-01 11:24:31 | ERROR    | modules.leitor_documentos.impl.llmwhisperer:extract_raw_data:61 | Erro inesperado na extração PDF: Erro inesperado
2025-08-01 11:24:31 | ERROR    | modules.leitor_documentos.impl.llmwhisperer:extract_raw_data:147 | Erro inesperado na extração DOCX: Erro inesperado
2025-08-01 11:24:44 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: teste.txt
2025-08-01 11:24:44 | ERROR    | modules.leitor_documentos.service:cleanup_old_files:279 | Erro ao limpar arquivos antigos: Erro de acesso ao diretório
2025-08-01 11:24:44 | ERROR    | modules.leitor_documentos.service:cleanup_temp_file:249 | Erro ao remover arquivo temporário: Erro ao remover arquivo
2025-08-01 11:25:15 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: teste.txt
2025-08-01 11:25:15 | ERROR    | modules.leitor_documentos.service:cleanup_old_files:279 | Erro ao limpar arquivos antigos: Erro de acesso ao diretório
2025-08-01 11:25:15 | ERROR    | modules.leitor_documentos.service:cleanup_temp_file:249 | Erro ao remover arquivo temporário: Erro ao remover arquivo
2025-08-01 11:26:39 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: teste.txt
2025-08-01 11:26:39 | ERROR    | modules.leitor_documentos.service:cleanup_old_files:279 | Erro ao limpar arquivos antigos: Erro de acesso ao diretório
2025-08-01 11:26:39 | ERROR    | modules.leitor_documentos.service:cleanup_temp_file:249 | Erro ao remover arquivo temporário: Erro ao remover arquivo
2025-08-01 11:27:08 | INFO     | modules.leitor_documentos.service:save_upload_file:221 | Arquivo salvo temporariamente: <Mock name='temp_dir.__truediv__()' id='139866640933104'> (Tamanho: 19 B)
2025-08-01 11:27:08 | ERROR    | modules.leitor_documentos.service:save_upload_file:229 | Erro ao salvar arquivo: Nome do arquivo não fornecido
2025-08-01 11:27:08 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: teste.txt
2025-08-01 11:27:08 | ERROR    | modules.leitor_documentos.service:cleanup_old_files:279 | Erro ao limpar arquivos antigos: Erro de acesso ao diretório
2025-08-01 11:27:08 | ERROR    | modules.leitor_documentos.service:save_upload_file:229 | Erro ao salvar arquivo: Erro de leitura
2025-08-01 11:27:08 | ERROR    | modules.leitor_documentos.service:save_upload_file:229 | Erro ao salvar arquivo: Erro de escrita
2025-08-01 11:27:08 | ERROR    | modules.leitor_documentos.service:cleanup_temp_file:249 | Erro ao remover arquivo temporário: Erro ao remover arquivo
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração para markdown: exemplo.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: docling_pdf para arquivo: exemplo.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração para markdown concluída. Tempo: 1.5s, Arquivo: 2.0 KB, Tamanho: 18 chars
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados brutos: exemplo.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: pypdf para arquivo: exemplo.pdf
